Hour,GHI,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed
14,511,20.71693632,865.0745239,78.3576899,56.77118405,0.566309452
15,301,19.67292051,865.0524292,83.89620459,68.83677673,0.505340219
16,80,18.08326667,865.2855835,93.70414327,81.63557059,0.439604908
17,0,16.83810708,865.8884277,98.90976317,94.82024619,0.362276971
18,0,16.11778326,866.5979004,99.73274352,108.167424,0.508666098
19,0,15.69508482,867.0278931,99.79008137,121.488161,0.722502351
20,0,15.49213778,867.0969849,96.61085482,134.5290588,0.858504474
21,0,15.1915029,866.9200439,91.54831092,146.767361,0.845953763
22,0,14.74891394,866.4737549,88.19134224,156.7313593,0.729055882
23,0,14.36580827,865.7940674,86.83645806,160.4432446,0.625369251
0,0,14.0369978,865.40802,86.42470108,154.9306741,0.576561391
1,0,13.78219559,865.0245972,85.67867157,144.2545993,0.547316909
2,0,13.59967453,864.9291382,84.92428679,131.7758441,0.527567804
3,0,13.47913835,865.2316895,84.25190639,118.6535083,0.554148853
4,0,13.42150549,865.7418823,83.0998896,105.3218176,0.618406117
5,0,14.06712293,866.5388184,82.50348408,92.01089964,0.697067261
6,132,18.33697714,867.4143677,76.95857181,78.91170207,0.726027608
7,349,20.97302181,868.0560913,64.71919438,66.26832034,0.713671088
8,553,22.59036231,868.2036743,60.50820177,54.47922973,0.778395236
9,712,24.05192896,867.9818726,56.4476518,44.29340726,0.763648272
10,811,24.77839238,867.4920044,54.95848518,37.09980877,0.737474382
11,839,24.8801155,866.3519287,55.55122976,34.82953572,0.728013158
12,794,24.5218178,865.151062,57.46984256,38.37266385,0.732113123
13,680,23.79687586,864.3466187,60.69866748,46.40948378,0.708008587
14,508,22.77647823,864.1785889,65.04832867,57.05578545,0.618011534
15,298,21.39286611,864.2258301,71.44164725,69.09102286,0.560580015
16,18,19.23763693,864.3560791,83.51476143,81.86940071,0.552831411
17,0,17.62901993,864.9468384,94.11759173,95.04230314,0.452246279
18,0,16.89558354,865.7837524,94.8700628,108.3858649,0.379345655
19,0,16.39396345,866.5132446,95.20491788,121.7123419,0.444015712
20,0,16.08179562,866.4493408,95.73460336,134.7721381,0.564578354
21,0,15.80362575,866.2175293,95.78045293,147.0505717,0.635745049
22,0,15.50737763,865.6478882,93.93174351,157.0813827,0.550076783
23,0,15.21327888,865.267334,92.85947795,160.8113983,0.366557568
0,0,14.94115247,864.751709,92.45138548,155.191926,0.25314945
1,0,14.74851802,864.4376221,91.93042038,144.4299525,0.294836134
2,0,14.65312363,864.3012085,90.95114646,131.908541,0.40812552
3,0,14.60222148,864.6088257,89.48654728,118.7678613,0.551803052
4,0,14.53701217,865.0758667,88.1122161,105.4321968,0.678216994
5,0,14.97797076,865.7305908,86.67341377,92.127807,0.765806735
6,68,18.96607209,866.3455811,78.90031098,79.04493588,0.765876174
7,117,21.41414513,867.0050659,63.45901829,66.42914076,0.757006824
8,306,22.94754956,867.4414063,58.37088569,54.68204544,0.904799581
9,401,23.7923122,867.0630493,55.43860336,44.55548003,0.97534734
10,405,24.3038087,866.5543823,54.58930096,37.4310037,1.020657897
11,827,24.32040509,865.5588379,55.65102757,35.20490266,1.028007627
12,721,23.90567712,864.5250854,57.88403342,38.73683442,0.99052757
13,318,23.12347636,863.8253784,61.24084207,46.73235733,0.899878383
14,364,22.06171539,863.4489136,66.2094228,57.33821196,0.769815981
15,97,20.79877528,863.5757446,72.03868336,69.34291681,0.641433299
16,20,18.83516158,864.0884399,83.9057936,82.1005911,0.576559186
17,0,17.60700593,864.6295166,94.55509812,95.26137521,0.364221573
18,0,17.0533856,865.3835449,95.65350136,108.600912,0.302937865
19,0,16.77261981,865.9393311,94.10207556,121.9326619,0.57981801
20,0,16.59615325,866.2704468,92.38262059,135.0108614,0.754431188
21,0,16.35718035,866.1386719,91.50559086,147.3291431,0.822840452
22,0,16.3252862,866.2005005,90.89143551,157.4277676,0.873727739
23,0,16.14814782,866.5081787,91.50645161,161.1775236,0.906848848
0,0,15.88173769,866.3639526,92.61237724,155.4502941,0.923264682
1,0,15.70037217,866.206604,93.33457421,144.6033303,0.931075931
2,0,15.41498324,866.1013794,92.99558535,132.0403824,0.835616946
3,0,15.24980074,866.2731323,92.28885028,118.8822138,0.741655886
4,0,15.2854763,866.598938,91.24265727,105.543216,0.690705061
5,0,15.80262674,867.1259766,90.65556322,92.24584809,0.628732204
6,40,18.74203013,867.8424683,91.71219756,79.17967606,0.491230607
7,185,19.56205193,868.4400024,76.37134763,66.59170823,0.565206826
8,296,21.09951358,868.7701416,75.128319,54.88660081,0.716694236
9,390,22.429135,868.5379639,68.78193926,44.81874802,0.829733193
10,427,23.4225124,868.0882568,66.022337,37.76195155,0.88230896
11,401,24.13095968,867.2484131,61.84996952,35.57832472,0.886448979
12,354,23.92588342,866.166687,62.84716081,39.0985494,0.908557594
13,334,23.10213463,865.5458984,67.90503975,47.05291061,0.896772563
14,467,21.87820646,865.4515381,75.48960329,57.61832983,0.848116755
15,226,20.50817017,865.8126221,84.45466189,69.59233142,0.727614045
16,65,19.07239851,866.4579468,94.33462359,82.3290235,0.539059401
17,0,18.11531351,867.2218628,100,95.47734434,0.351873785
